Simulation_ID,Final_Net_Worth,Final_Roth_Balance,Total_Conversions,Total_Taxes,Roth_Preserved,Years_With_Shortfall,Worst_Year_Return,Best_Year_Return,Sequence_Risk
29,6051800.671934886,3268086.299773057,567198.5898499945,456897.9115659473,True,0,-0.19935854081022364,0.18514059456304,0.10263603241199057
30,7723769.636338694,2004578.5470926978,644235.1919879816,384145.7124096057,True,0,-0.1099504388704524,0.14109906722204313,0.025362366041706316
31,7902374.189471109,2190285.0311731277,628612.2199620248,384789.01125773333,True,0,-0.06341382917920804,0.11799391476896139,0.0010345930414210613
32,14933935.865323933,4363876.196123596,631020.7954589227,384689.83461962576,True,0,-0.019039145106675218,0.2837932854519934,0.013413030420139763
33,26314774.227626182,6300286.383589729,667228.641135576,379021.69891183276,True,0,-0.016373974256767464,0.20893704603971658,0.0949624335888116
34,6834942.8723767055,1575561.8951151185,709371.7306950284,373049.2787822913,True,0,-0.1396487808874643,0.4167110001838818,0.11140548641291617
35,32436419.019348763,6207645.120163488,739913.7608758769,357480.5941096875,True,0,-0.007917098360275314,0.46931877581680703,0.2165399180885469
36,9701321.515757907,2900076.9472366655,567198.5898499945,386308.66801077116,True,0,-0.16895035647774653,0.22345348152089967,0.0080283421285808
37,6239968.55680963,2023332.8426064765,597647.2575659995,386064.03912109905,True,0,-0.07100197512458117,0.16185450093176135,0.03738131704962654
38,4806973.200490249,2351223.6762623084,590118.3082129583,443663.45046516496,True,0,-0.08149788794853796,0.14891555736350137,0.09342516804482774
39,12446745.800979914,2803509.441068306,684143.7261349113,378325.1954118601,True,0,-0.019128125620918927,0.2564578316053212,0.09225624540078714
40,26856839.998587713,5634047.916654416,704349.1143979043,373256.0923945258,True,0,-0.04905000144711253,0.2905996319861387,0.13567600539394098
41,6455022.185012777,4288104.151418014,593543.7336605118,459957.82760959247,True,0,-0.11260532245832867,0.22326352374223424,0.10060434483839643
42,4163231.3004067363,2019468.437915311,599297.7206524657,443926.959209692,True,0,-0.10630466622684635,0.18972765635818717,0.05468117065211312
43,1954200.6972780603,177972.83726411493,319901.2479229609,221273.37794835283,False,0,-0.3064343708185819,0.17010714867000945,0.198447253617178
44,20976019.11631006,5548084.290623472,654105.8304744937,379562.0499390538,True,0,-0.06025940897935143,0.22253425628879533,0.07027408949274908
45,11277453.723119581,3604706.4256948815,590566.0995808365,386355.61621460575,True,0,-0.07271779009531337,0.20949714152235688,0.0024172050979900175
